chain,video_id,title,channel,comment,likes
trader_joes,iEpeid3y4aA,"NEW Trader Joe&#39;s Detroit Pizza, Crispy Rice Bars + The Return of My FAVORITE Ice Cream - $181 Haul",Natasha's List (formerly Trader Joe's List),THX for cashew review….definitely taking a pass on these (not a fan of soft cashews and movie theater flavored butter).,1
trader_joes,iEpeid3y4aA,"NEW Trader Joe&#39;s Detroit Pizza, Crispy Rice Bars + The Return of My FAVORITE Ice Cream - $181 Haul",Natasha's List (formerly Trader Joe's List),"Its not  pronounced newww orleas.its pronounced  Na,lins.",2
trader_joes,iEpeid3y4aA,"NEW Trader Joe&#39;s Detroit Pizza, Crispy Rice Bars + The Return of My FAVORITE Ice Cream - $181 Haul",Natasha's List (formerly Trader Joe's List),Lychee is pronounced &quot;Lie chee&quot;.,2
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,That was a nice breakfast charcuterie you put together at the end🥰,6
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Store staff are great and will find and reach products for you,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,With the freeze dried strawberries I make myself the refreshers just like the kind they have at Starbucks I use a little bit of cranberry juice and a little bit of lemonade and they taste just like the kind at Starbucks for less than half the price 🤗,15
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"HI Gina, your voice and laugh is very soothing. I enjoy your videos.  thank you.",10
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Would be nice if the Parmesan tapenade had more olive oil than sunflower oil.,1
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Thank you for sharing with us❤❤❤❤❤❤❤❤❤❤❤❤❤,3
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Love your nails 💅,10
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I like the tangerine juice and the pineapple juice❤️,1
